Date,Location,Blood Type,Donations,Usage,Population,Event,Temperature,Supply,Donate,Use,Supplied
02/01/2023,Kisumu,AB+,4,2,308074,Disaster,21.9,4,40000,20000,40000
02/01/2023,Kisumu,AB-,4,3,259076,,20.8,-1,40000,30000,10000
02/01/2023,Kisumu,O+,7,2,378470,Holiday,25,7,70000,20000,70000
02/01/2023,Kisumu,O-,7,8,209018,Holiday,32.6,1,70000,80000,10000
02/01/2023,Nakuru,A+,3,4,300765,Holiday,24.7,0,30000,40000,0
02/01/2023,Nakuru,A-,2,2,471091,Campaign,21.1,2,20000,20000,20000
02/01/2023,Nakuru,B+,7,3,488574,Campaign,26.6,5,70000,30000,50000
02/01/2023,Nakuru,B-,3,4,348803,Holiday,33.4,0,30000,40000,0
02/01/2023,Nakuru,AB+,4,5,265369,Holiday,31,-3,40000,50000,30000
02/01/2023,Nakuru,AB-,1,3,265939,,26.4,0,10000,30000,0
02/01/2023,Nakuru,O+,3,0,414337,Disaster,30.7,2,30000,0,20000
02/01/2023,Nakuru,O-,6,8,219070,Holiday,30.1,-5,60000,80000,50000
02/01/2023,Eldoret,A+,4,2,118704,Campaign,15.4,1,40000,20000,10000
02/01/2023,Eldoret,A-,4,4,251008,,33.1,-2,40000,40000,20000
02/01/2023,Eldoret,B+,4,3,465790,,20.2,3,40000,30000,30000
02/01/2023,Eldoret,B-,6,3,151212,Holiday,25.3,1,60000,30000,10000
02/01/2023,Eldoret,AB+,5,3,252910,,28.3,-1,50000,30000,10000
02/01/2023,Eldoret,AB-,2,3,472361,Disaster,22.4,-2,20000,30000,20000
02/01/2023,Eldoret,O+,5,3,115006,Campaign,15.5,0,50000,30000,0
02/01/2023,Eldoret,O-,5,1,270890,Campaign,31.3,1,50000,10000,10000
03/01/2023,Nairobi,A+,4,1,101788,Holiday,19.7,2,40000,10000,20000
03/01/2023,Nairobi,A-,4,2,353807,,33.8,4,40000,20000,40000
03/01/2023,Nairobi,B+,8,2,227069,Campaign,16.9,5,80000,20000,50000
03/01/2023,Nairobi,B-,8,3,447465,Campaign,21.3,4,80000,30000,40000
03/01/2023,Nairobi,AB+,3,5,226950,Campaign,23.6,-1,30000,50000,10000
03/01/2023,Nairobi,AB-,10,5,476203,Disaster,17.9,6,100000,50000,60000
03/01/2023,Nairobi,O+,1,4,367453,,15.1,-2,10000,40000,20000
03/01/2023,Nairobi,O-,3,5,342671,Holiday,26.8,-1,30000,50000,10000
03/01/2023,Mombasa,A+,6,3,135215,Holiday,22.8,0,60000,30000,0
03/01/2023,Mombasa,A-,2,5,403177,,30.3,-6,20000,50000,60000
03/01/2023,Mombasa,B+,6,1,246438,,20,3,60000,10000,30000
03/01/2023,Mombasa,B-,5,3,409642,Campaign,19.1,-1,50000,30000,10000
03/01/2023,Mombasa,AB+,4,4,147685,Campaign,26.1,1,40000,40000,10000
03/01/2023,Mombasa,AB-,2,3,329454,,31.7,-3,20000,30000,30000
03/01/2023,Mombasa,O+,4,0,236831,Holiday,24.7,5,40000,0,50000
03/01/2023,Mombasa,O-,3,4,361928,,27.9,-1,30000,40000,10000
03/01/2023,Kisumu,A+,6,4,477941,,28.8,3,60000,40000,30000
03/01/2023,Kisumu,A-,5,4,144312,,22.5,2,50000,40000,20000
03/01/2023,Kisumu,B+,7,3,396995,Campaign,33.8,3,70000,30000,30000
03/01/2023,Kisumu,B-,5,1,205647,Holiday,31.7,1,50000,10000,10000
03/01/2023,Kisumu,AB+,6,3,120735,,19.6,3,60000,30000,30000
03/01/2023,Kisumu,AB-,10,3,367049,Disaster,18.2,5,100000,30000,50000
03/01/2023,Kisumu,O+,7,2,102066,Campaign,26.7,5,70000,20000,50000
03/01/2023,Kisumu,O-,4,1,421224,Holiday,24.8,3,40000,10000,30000
03/01/2023,Nakuru,A+,8,1,253769,Disaster,33.7,9,80000,10000,90000
03/01/2023,Nakuru,A-,4,5,161465,Holiday,32.7,-4,40000,50000,40000
03/01/2023,Nakuru,B+,5,4,231250,Disaster,29.2,-2,50000,40000,20000
03/01/2023,Nakuru,B-,7,4,481671,,23,3,70000,40000,30000
03/01/2023,Nakuru,AB+,5,2,151271,Holiday,31,0,50000,20000,0
03/01/2023,Nakuru,AB-,4,1,199965,,18.6,5,40000,10000,50000
03/01/2023,Nakuru,O+,5,1,277204,Disaster,17.5,5,50000,10000,50000
03/01/2023,Nakuru,O-,4,3,459254,Disaster,32.6,1,40000,30000,10000
03/01/2023,Eldoret,A+,4,4,290255,Disaster,30.8,-2,40000,40000,20000
03/01/2023,Eldoret,A-,6,2,452954,Campaign,33.6,4,60000,20000,40000
03/01/2023,Eldoret,B+,8,5,234187,Campaign,19.5,3,80000,50000,30000
03/01/2023,Eldoret,B-,4,5,438889,,34.5,-4,40000,50000,40000
03/01/2023,Eldoret,AB+,3,5,358998,Holiday,31.3,-2,30000,50000,20000
03/01/2023,Eldoret,AB-,6,3,339200,Disaster,27.3,3,60000,30000,30000
03/01/2023,Eldoret,O+,3,2,465896,Campaign,18.6,1,30000,20000,10000
03/01/2023,Eldoret,O-,6,2,127046,Holiday,34.5,6,60000,20000,60000
04/01/2023,Nairobi,A+,6,2,259636,Disaster,27.1,1,60000,20000,10000
04/01/2023,Nairobi,A-,4,5,312662,Campaign,21.1,1,40000,50000,10000
04/01/2023,Nairobi,B+,4,4,182193,Holiday,15.5,1,40000,40000,10000
04/01/2023,Nairobi,B-,4,3,376918,Campaign,32.8,3,40000,30000,30000
04/01/2023,Nairobi,AB+,6,3,203223,,29.3,4,60000,30000,40000
04/01/2023,Nairobi,AB-,5,5,212069,Disaster,29.1,-3,50000,50000,30000
04/01/2023,Nairobi,O+,8,0,410839,,20,10,80000,0,100000
04/01/2023,Nairobi,O-,8,3,422046,Holiday,18.8,3,80000,30000,30000
04/01/2023,Mombasa,A+,6,5,485413,Holiday,23.6,-2,60000,50000,20000
04/01/2023,Mombasa,A-,3,4,148095,,24.7,-4,30000,40000,40000
04/01/2023,Mombasa,B+,5,4,450832,Disaster,16.9,3,50000,40000,30000
04/01/2023,Mombasa,B-,7,2,371616,Campaign,24,3,70000,20000,30000
04/01/2023,Mombasa,AB+,4,2,204428,Disaster,33.3,2,40000,20000,20000
04/01/2023,Mombasa,AB-,2,1,155579,Disaster,28.9,-2,20000,10000,20000
04/01/2023,Mombasa,O+,6,2,141711,Campaign,26.7,4,60000,20000,40000
04/01/2023,Mombasa,O-,9,2,468958,Campaign,24.9,7,90000,20000,70000
04/01/2023,Kisumu,A+,6,4,113972,Campaign,21.2,2,60000,40000,20000
04/01/2023,Kisumu,A-,4,2,365038,Campaign,31.6,0,40000,20000,0
04/01/2023,Kisumu,B+,6,4,351232,Holiday,34.9,3,60000,40000,30000
04/01/2023,Kisumu,B-,4,5,499429,Campaign,31.8,1,40000,50000,10000
04/01/2023,Kisumu,AB+,3,4,464273,Disaster,26.4,-4,30000,40000,40000
04/01/2023,Kisumu,AB-,1,4,145091,Campaign,15.2,-1,10000,40000,10000
04/01/2023,Kisumu,O+,7,4,461221,Campaign,20.6,0,70000,40000,0
04/01/2023,Kisumu,O-,3,0,273153,Holiday,25.5,1,30000,0,10000
04/01/2023,Nakuru,A+,3,4,110627,Disaster,24,-2,30000,40000,20000
04/01/2023,Nakuru,A-,7,4,190602,,19.6,1,70000,40000,10000
04/01/2023,Nakuru,B+,9,4,151329,Disaster,15.4,7,90000,40000,70000
04/01/2023,Nakuru,B-,6,4,165827,,19.5,2,60000,40000,20000
04/01/2023,Nakuru,AB+,3,2,497283,Campaign,15.8,3,30000,20000,30000
04/01/2023,Nakuru,AB-,4,0,408787,,19.3,3,40000,0,30000
04/01/2023,Nakuru,O+,6,1,141490,Campaign,21,7,60000,10000,70000
04/01/2023,Nakuru,O-,5,1,214051,Campaign,20.4,3,50000,10000,30000
04/01/2023,Eldoret,A+,6,1,199772,,24.3,5,60000,10000,50000
04/01/2023,Eldoret,A-,2,1,387267,,27,-2,20000,10000,20000
04/01/2023,Eldoret,B+,3,5,239510,,21.2,-3,30000,50000,30000
04/01/2023,Eldoret,B-,6,5,223028,Holiday,19.6,-2,60000,50000,20000
04/01/2023,Eldoret,AB+,11,2,133630,Disaster,25.6,7,110000,20000,70000
04/01/2023,Eldoret,AB-,3,6,498580,Disaster,17.8,-6,30000,60000,60000
04/01/2023,Eldoret,O+,3,3,268948,Holiday,32.3,1,30000,30000,10000
04/01/2023,Eldoret,O-,5,4,306435,Campaign,32.2,-2,50000,40000,20000
05/01/2023,Nairobi,A+,1,4,175785,Campaign,32.8,-1,10000,40000,10000
05/01/2023,Nairobi,A-,7,1,462238,Disaster,23.8,3,70000,10000,30000
05/01/2023,Nairobi,B+,5,1,299537,Campaign,32.3,3,50000,10000,30000
05/01/2023,Nairobi,B-,6,4,300883,Disaster,26.5,3,60000,40000,30000
05/01/2023,Nairobi,AB+,7,3,423001,Holiday,33.5,5,70000,30000,50000
05/01/2023,Nairobi,AB-,3,5,495579,Campaign,26,-2,30000,50000,20000
05/01/2023,Nairobi,O+,9,3,412207,Holiday,32,5,90000,30000,50000
05/01/2023,Nairobi,O-,2,3,250071,Campaign,33.3,-1,20000,30000,10000
05/01/2023,Mombasa,A+,5,2,494556,Holiday,32.4,4,50000,20000,40000
05/01/2023,Mombasa,A-,7,5,189134,,29.7,3,70000,50000,30000
05/01/2023,Mombasa,B+,5,5,226754,Disaster,18.4,-2,50000,50000,20000
05/01/2023,Mombasa,B-,2,4,254376,Holiday,26.2,-3,20000,40000,30000
05/01/2023,Mombasa,AB+,4,2,343782,Disaster,34.9,1,40000,20000,10000
05/01/2023,Mombasa,AB-,7,1,440388,Holiday,31.8,3,70000,10000,30000
05/01/2023,Mombasa,O+,4,2,316314,Campaign,34.1,2,40000,20000,20000
05/01/2023,Mombasa,O-,4,0,210677,Campaign,34.5,4,40000,0,40000
05/01/2023,Kisumu,A+,2,3,324964,Holiday,27,-3,20000,30000,30000
05/01/2023,Kisumu,A-,2,2,378876,Campaign,18.1,-3,20000,20000,30000
05/01/2023,Kisumu,B+,4,2,225717,,18.1,4,40000,20000,40000
05/01/2023,Kisumu,B-,7,7,337140,,34.4,1,70000,70000,10000
05/01/2023,Kisumu,AB+,5,2,176950,Disaster,28.3,2,50000,20000,20000
05/01/2023,Kisumu,AB-,5,3,104779,Campaign,32.2,0,50000,30000,0
05/01/2023,Kisumu,O+,4,2,151315,,20.3,4,40000,20000,40000
05/01/2023,Kisumu,O-,5,1,338383,Disaster,19.8,2,50000,10000,20000
05/01/2023,Nakuru,A+,7,1,127689,Campaign,28.2,8,70000,10000,80000
05/01/2023,Nakuru,A-,3,1,306464,,23.6,0,30000,10000,0
05/01/2023,Nakuru,B+,4,3,302666,Campaign,20.6,3,40000,30000,30000
05/01/2023,Nakuru,B-,3,2,208546,Disaster,20.1,-1,30000,20000,10000
05/01/2023,Nakuru,AB+,2,4,243002,,25.5,-2,20000,40000,20000
05/01/2023,Nakuru,AB-,6,1,214511,Campaign,33.4,4,60000,10000,40000
05/01/2023,Nakuru,O+,5,5,480927,Holiday,21.9,-2,50000,50000,20000
05/01/2023,Nakuru,O-,3,4,485431,Campaign,16.8,-2,30000,40000,20000
05/01/2023,Eldoret,A+,5,3,140456,Campaign,17.6,2,50000,30000,20000
05/01/2023,Eldoret,A-,7,3,138339,,23,6,70000,30000,60000
05/01/2023,Eldoret,B+,3,3,203066,Holiday,17.8,-3,30000,30000,30000
05/01/2023,Eldoret,B-,8,6,420384,Holiday,32.6,4,80000,60000,40000
05/01/2023,Eldoret,AB+,6,3,483795,Holiday,28.1,2,60000,30000,20000
05/01/2023,Eldoret,AB-,5,2,412013,Campaign,31.6,1,50000,20000,10000
05/01/2023,Eldoret,O+,6,4,364352,,30.1,-1,60000,40000,10000
05/01/2023,Eldoret,O-,6,4,362569,,20.3,2,60000,40000,20000
06/01/2023,Nairobi,A+,5,5,275212,Holiday,20.5,-1,50000,50000,10000
06/01/2023,Nairobi,A-,6,4,158670,Campaign,30.7,0,60000,40000,0
06/01/2023,Nairobi,B+,6,0,179233,,31.1,3,60000,0,30000
06/01/2023,Nairobi,B-,6,3,134114,Campaign,15.9,1,60000,30000,10000
06/01/2023,Nairobi,AB+,8,1,449663,Campaign,23,8,80000,10000,80000
06/01/2023,Nairobi,AB-,3,2,157092,Holiday,32.4,0,30000,20000,0
06/01/2023,Nairobi,O+,5,9,213413,Campaign,28.8,-7,50000,90000,70000
06/01/2023,Nairobi,O-,4,2,375680,Disaster,18.4,0,40000,20000,0
06/01/2023,Mombasa,A+,2,2,115186,Campaign,23.3,2,20000,20000,20000
06/01/2023,Mombasa,A-,9,1,226843,Disaster,16.7,9,90000,10000,90000
06/01/2023,Mombasa,B+,4,4,149351,,19,1,40000,40000,10000
06/01/2023,Mombasa,B-,6,4,447937,Holiday,24.2,4,60000,40000,40000
06/01/2023,Mombasa,AB+,4,3,238248,,34.3,-2,40000,30000,20000
06/01/2023,Mombasa,AB-,4,1,319310,Campaign,24.9,4,40000,10000,40000
06/01/2023,Mombasa,O+,5,2,336124,Campaign,32.6,0,50000,20000,0
06/01/2023,Mombasa,O-,6,2,137863,Campaign,28.6,2,60000,20000,20000
06/01/2023,Kisumu,A+,6,4,426239,Holiday,16.5,2,60000,40000,20000
06/01/2023,Kisumu,A-,7,2,337550,,21,3,70000,20000,30000
06/01/2023,Kisumu,B+,6,2,168856,Campaign,16.5,5,60000,20000,50000
06/01/2023,Kisumu,B-,5,3,438485,Holiday,30.9,2,50000,30000,20000
06/01/2023,Kisumu,AB+,4,5,182675,,32.9,0,40000,50000,0
06/01/2023,Kisumu,AB-,6,2,449289,,26.3,1,60000,20000,10000
06/01/2023,Kisumu,O+,9,2,457591,Campaign,15,9,90000,20000,90000
06/01/2023,Kisumu,O-,4,3,323533,Disaster,28.9,2,40000,30000,20000
06/01/2023,Nakuru,A+,3,1,353828,Campaign,31.9,-1,30000,10000,10000
06/01/2023,Nakuru,A-,8,3,139845,Holiday,29.1,4,80000,30000,40000
06/01/2023,Nakuru,B+,5,0,289932,Campaign,28.1,3,50000,0,30000
06/01/2023,Nakuru,B-,3,3,420778,Holiday,27.3,-1,30000,30000,10000
06/01/2023,Nakuru,AB+,4,5,475757,Holiday,27,0,40000,50000,0
06/01/2023,Nakuru,AB-,6,4,492317,Disaster,18,1,60000,40000,10000
06/01/2023,Nakuru,O+,8,1,104688,,26.8,7,80000,10000,70000
06/01/2023,Nakuru,O-,4,3,431817,Disaster,30.3,0,40000,30000,0
06/01/2023,Eldoret,A+,7,3,351381,Disaster,28.8,4,70000,30000,40000
06/01/2023,Eldoret,A-,4,5,302764,Campaign,34.5,-1,40000,50000,10000
06/01/2023,Eldoret,B+,4,3,301557,Disaster,21,1,40000,30000,10000
06/01/2023,Eldoret,B-,5,6,457784,Campaign,21.8,-1,50000,60000,10000
06/01/2023,Eldoret,AB+,4,3,262545,Holiday,28.9,2,40000,30000,20000
06/01/2023,Eldoret,AB-,4,3,199487,,34.9,-1,40000,30000,10000
06/01/2023,Eldoret,O+,1,1,100144,Disaster,28.7,0,10000,10000,0
06/01/2023,Eldoret,O-,3,0,377705,Campaign,17.2,3,30000,0,30000
07/01/2023,Nairobi,A+,8,2,219219,Disaster,29.2,6,80000,20000,60000
07/01/2023,Nairobi,A-,5,2,176033,Campaign,25.5,1,50000,20000,10000
07/01/2023,Nairobi,B+,1,0,279127,Holiday,24.7,-2,10000,0,20000
07/01/2023,Nairobi,B-,8,4,332912,Disaster,19.1,3,80000,40000,30000
07/01/2023,Nairobi,AB+,6,5,292860,Holiday,27.5,-2,60000,50000,20000
07/01/2023,Nairobi,AB-,2,4,385656,Holiday,34.5,-4,20000,40000,40000
07/01/2023,Nairobi,O+,6,2,467360,Disaster,33,3,60000,20000,30000
07/01/2023,Nairobi,O-,7,2,200613,,33,5,70000,20000,50000
07/01/2023,Mombasa,A+,5,4,411464,Campaign,30.6,-2,50000,40000,20000
07/01/2023,Mombasa,A-,3,1,494465,Campaign,30.3,0,30000,10000,0
07/01/2023,Mombasa,B+,5,3,179388,Campaign,27.9,0,50000,30000,0
07/01/2023,Mombasa,B-,5,6,299692,Holiday,30.7,-4,50000,60000,40000
07/01/2023,Mombasa,AB+,5,2,174152,,16.8,5,50000,20000,50000
07/01/2023,Mombasa,AB-,5,0,226433,Campaign,19.2,5,50000,0,50000
07/01/2023,Mombasa,O+,9,1,392326,Holiday,18.8,8,90000,10000,80000
07/01/2023,Mombasa,O-,2,2,474351,,23.9,1,20000,20000,10000
07/01/2023,Kisumu,A+,6,2,331732,Disaster,18.2,1,60000,20000,10000
07/01/2023,Kisumu,A-,4,3,326684,Disaster,25.7,1,40000,30000,10000
07/01/2023,Kisumu,B+,6,2,413706,Disaster,33.1,6,60000,20000,60000
07/01/2023,Kisumu,B-,4,0,456263,Holiday,15.4,1,40000,0,10000
07/01/2023,Kisumu,AB+,6,2,308952,Disaster,27.1,6,60000,20000,60000
07/01/2023,Kisumu,AB-,8,2,121548,Disaster,22.1,8,80000,20000,80000
07/01/2023,Kisumu,O+,4,2,406444,Campaign,34.1,2,40000,20000,20000
07/01/2023,Kisumu,O-,4,5,301284,Holiday,25.2,-3,40000,50000,30000
07/01/2023,Nakuru,A+,5,2,430678,,19.2,0,50000,20000,0
07/01/2023,Nakuru,A-,6,3,232206,Disaster,22.1,1,60000,30000,10000
07/01/2023,Nakuru,B+,5,1,403711,Campaign,26.8,5,50000,10000,50000
07/01/2023,Nakuru,B-,4,2,492184,Holiday,22.2,3,40000,20000,30000
07/01/2023,Nakuru,AB+,6,4,222274,Disaster,34.7,0,60000,40000,0
07/01/2023,Nakuru,AB-,6,1,452730,,21.4,4,60000,10000,40000
07/01/2023,Nakuru,O+,6,1,496985,Campaign,29.2,2,60000,10000,20000
07/01/2023,Nakuru,O-,4,3,320061,,17.5,-2,40000,30000,20000
07/01/2023,Eldoret,A+,2,5,296636,,31.5,-4,20000,50000,40000
07/01/2023,Eldoret,A-,3,1,366401,Campaign,25.4,-1,30000,10000,10000
07/01/2023,Eldoret,B+,2,1,464541,Holiday,29.3,3,20000,10000,30000
07/01/2023,Eldoret,B-,5,0,400110,Holiday,16.6,6,50000,0,60000
07/01/2023,Eldoret,AB+,7,1,280009,Holiday,34.1,4,70000,10000,40000
07/01/2023,Eldoret,AB-,6,3,170305,Disaster,34.1,3,60000,30000,30000
07/01/2023,Eldoret,O+,4,5,182772,,21.6,1,40000,50000,10000
07/01/2023,Eldoret,O-,1,4,289951,Campaign,31.8,-5,10000,40000,50000
08/01/2023,Nairobi,A+,3,4,492160,Holiday,34.5,-4,30000,40000,40000
08/01/2023,Nairobi,A-,6,3,103636,Campaign,30.5,3,60000,30000,30000
08/01/2023,Nairobi,B+,2,3,320932,Holiday,19.9,0,20000,30000,0
08/01/2023,Nairobi,B-,8,2,292985,,17.1,3,80000,20000,30000
08/01/2023,Nairobi,AB+,5,1,430643,Disaster,15.6,2,50000,10000,20000
08/01/2023,Nairobi,AB-,5,1,135737,,19.1,4,50000,10000,40000
08/01/2023,Nairobi,O+,7,0,355255,Campaign,19.1,8,70000,0,80000
08/01/2023,Nairobi,O-,3,2,398240,Campaign,30.7,0,30000,20000,0
08/01/2023,Mombasa,A+,8,2,443845,Campaign,32.6,5,80000,20000,50000
08/01/2023,Mombasa,A-,4,1,424925,Campaign,21.7,4,40000,10000,40000
08/01/2023,Mombasa,B+,7,5,111324,,24,-1,70000,50000,10000
08/01/2023,Mombasa,B-,4,5,330851,,33.8,0,40000,50000,0
08/01/2023,Mombasa,AB+,8,5,387523,,23.4,1,80000,50000,10000
08/01/2023,Mombasa,AB-,7,1,477850,Disaster,31.4,8,70000,10000,80000
08/01/2023,Mombasa,O+,4,3,219644,,15.1,-2,40000,30000,20000
08/01/2023,Mombasa,O-,8,4,160068,Disaster,25,5,80000,40000,50000
08/01/2023,Kisumu,A+,1,2,311665,,30.6,-3,10000,20000,30000
08/01/2023,Kisumu,A-,10,2,143780,Holiday,17.4,6,100000,20000,60000
08/01/2023,Kisumu,B+,10,1,221236,Holiday,34.4,6,100000,10000,60000
08/01/2023,Kisumu,B-,7,2,467816,,24.1,4,70000,20000,40000
08/01/2023,Kisumu,AB+,7,0,312388,Holiday,31.4,9,70000,0,90000
08/01/2023,Kisumu,AB-,8,2,445442,Disaster,24.1,6,80000,20000,60000
08/01/2023,Kisumu,O+,8,1,160919,Disaster,28.9,4,80000,10000,40000
08/01/2023,Kisumu,O-,4,1,306540,Holiday,15.9,0,40000,10000,0
08/01/2023,Nakuru,A+,3,4,451187,,15.3,-3,30000,40000,30000
08/01/2023,Nakuru,A-,7,2,410058,,17.6,2,70000,20000,20000
08/01/2023,Nakuru,B+,1,5,494468,,33.6,-4,10000,50000,40000
08/01/2023,Nakuru,B-,5,3,350112,Campaign,23.4,1,50000,30000,10000
08/01/2023,Nakuru,AB+,4,2,424555,Holiday,34.3,2,40000,20000,20000
08/01/2023,Nakuru,AB-,4,4,241312,,21.1,1,40000,40000,10000
08/01/2023,Nakuru,O+,5,3,179951,Campaign,16.9,3,50000,30000,30000
08/01/2023,Nakuru,O-,3,5,428609,,24.8,-3,30000,50000,30000
08/01/2023,Eldoret,A+,4,1,367271,Holiday,22.8,0,40000,10000,0
08/01/2023,Eldoret,A-,3,2,473432,Campaign,18,0,30000,20000,0
08/01/2023,Eldoret,B+,3,1,353328,,17.1,-1,30000,10000,10000
08/01/2023,Eldoret,B-,5,2,415357,Disaster,15.5,3,50000,20000,30000
08/01/2023,Eldoret,AB+,8,2,476000,Holiday,34,6,80000,20000,60000
08/01/2023,Eldoret,AB-,5,1,320162,Disaster,33.9,2,50000,10000,20000
08/01/2023,Eldoret,O+,2,5,227625,Campaign,18.6,-1,20000,50000,10000
08/01/2023,Eldoret,O-,6,4,454695,Campaign,18.7,3,60000,40000,30000
09/01/2023,Nairobi,A+,5,2,218525,Disaster,21.4,4,50000,20000,40000
09/01/2023,Nairobi,A-,2,2,333941,Disaster,20.6,-1,20000,20000,10000
09/01/2023,Nairobi,B+,8,4,154050,Disaster,34.1,4,80000,40000,40000
09/01/2023,Nairobi,B-,5,4,278260,Holiday,18.7,1,50000,40000,10000
09/01/2023,Nairobi,AB+,3,3,218682,Holiday,29.3,2,30000,30000,20000
09/01/2023,Nairobi,AB-,6,5,280568,Holiday,20.8,0,60000,50000,0
09/01/2023,Nairobi,O+,3,4,159018,,23,1,30000,40000,10000
09/01/2023,Nairobi,O-,2,2,201517,,17.8,1,20000,20000,10000
09/01/2023,Mombasa,A+,6,0,157401,Campaign,25.8,8,60000,0,80000
